Iteration: 1 | Loss: 2.30196067095 | Training accuracy: 0.149999991059% | Test accuracy: 0.10000000149%
Iteration: 2 | Loss: 2.30151954651 | Training accuracy: 0.140000000596% | Test accuracy: 0.109000004828%
Iteration: 3 | Loss: 2.30134278099 | Training accuracy: 0.0999999940395% | Test accuracy: 0.121000006795%
Iteration: 4 | Loss: 2.30124547005 | Training accuracy: 0.070000000298% | Test accuracy: 0.126000002027%
Iteration: 5 | Loss: 2.30120162686 | Training accuracy: 0.109999999404% | Test accuracy: 0.118000008166%
Iteration: 6 | Loss: 2.30116483887 | Training accuracy: 0.149999991059% | Test accuracy: 0.127000004053%
Iteration: 7 | Loss: 2.30113545855 | Training accuracy: 0.0999999940395% | Test accuracy: 0.109000004828%
Iteration: 8 | Loss: 2.30110290488 | Training accuracy: 0.0499999970198% | Test accuracy: 0.130000010133%
Iteration: 9 | Loss: 2.30105673631 | Training accuracy: 0.0599999986589% | Test accuracy: 0.097000002861%
Iteration: 10 | Loss: 2.30096104701 | Training accuracy: 0.0999999940395% | Test accuracy: 0.119000002742%
Iteration: 11 | Loss: 2.30070108573 | Training accuracy: 0.0999999940395% | Test accuracy: 0.110000006855%
Iteration: 12 | Loss: 2.21526609719 | Training accuracy: 0.229999989271% | Test accuracy: 0.222000017762%
Iteration: 13 | Loss: 1.79184704602 | Training accuracy: 0.179999992251% | Test accuracy: 0.219000011683%
Iteration: 14 | Loss: 1.73269423544 | Training accuracy: 0.229999989271% | Test accuracy: 0.213000014424%
Iteration: 15 | Loss: 1.7113085109 | Training accuracy: 0.25% | Test accuracy: 0.213000014424%
Iteration: 16 | Loss: 1.69781367679 | Training accuracy: 0.199999988079% | Test accuracy: 0.213000014424%
Iteration: 17 | Loss: 1.68404629548 | Training accuracy: 0.259999990463% | Test accuracy: 0.199000015855%
Iteration: 18 | Loss: 1.62240039766 | Training accuracy: 0.52999997139% | Test accuracy: 0.395000010729%
Iteration: 19 | Loss: 1.28916608781 | Training accuracy: 0.509999990463% | Test accuracy: 0.633000016212%
Iteration: 20 | Loss: 0.96044687748 | Training accuracy: 0.719999969006% | Test accuracy: 0.715000033379%
Iteration: 21 | Loss: 0.800134521524 | Training accuracy: 0.829999983311% | Test accuracy: 0.809000015259%
Iteration: 22 | Loss: 0.664670057694 | Training accuracy: 0.839999973774% | Test accuracy: 0.817000031471%
Iteration: 23 | Loss: 0.589584195316 | Training accuracy: 0.879999995232% | Test accuracy: 0.841000020504%
Iteration: 24 | Loss: 0.502204912752 | Training accuracy: 0.8599999547% | Test accuracy: 0.886000037193%
Iteration: 25 | Loss: 0.437301233013 | Training accuracy: 0.879999995232% | Test accuracy: 0.900000035763%
Iteration: 26 | Loss: 0.375507320737 | Training accuracy: 0.969999969006% | Test accuracy: 0.927000045776%
Iteration: 27 | Loss: 0.325205335567 | Training accuracy: 0.949999988079% | Test accuracy: 0.944000065327%
Iteration: 28 | Loss: 0.293981590047 | Training accuracy: 0.959999978542% | Test accuracy: 0.948000073433%
Iteration: 29 | Loss: 0.256450873427 | Training accuracy: 0.959999978542% | Test accuracy: 0.932000041008%
Iteration: 30 | Loss: 0.235312632434 | Training accuracy: 0.919999957085% | Test accuracy: 0.959000051022%
Iteration: 31 | Loss: 0.215759445578 | Training accuracy: 0.989999949932% | Test accuracy: 0.949000060558%
Iteration: 32 | Loss: 0.195423691981 | Training accuracy: 0.939999997616% | Test accuracy: 0.95400005579%
Iteration: 33 | Loss: 0.188038844479 | Training accuracy: 0.969999969006% | Test accuracy: 0.968000054359%
Iteration: 34 | Loss: 0.168879845347 | Training accuracy: 0.979999959469% | Test accuracy: 0.972000062466%
Iteration: 35 | Loss: 0.154563645261 | Training accuracy: 0.979999959469% | Test accuracy: 0.963000059128%
Iteration: 36 | Loss: 0.14667275882 | Training accuracy: 0.969999969006% | Test accuracy: 0.97000002861%
Iteration: 37 | Loss: 0.133350380833 | Training accuracy: 1.0% | Test accuracy: 0.968000054359%
Iteration: 38 | Loss: 0.133379182878 | Training accuracy: 0.989999949932% | Test accuracy: 0.976000070572%
Iteration: 39 | Loss: 0.120236671871 | Training accuracy: 0.979999959469% | Test accuracy: 0.972000062466%
Iteration: 40 | Loss: 0.115050444597 | Training accuracy: 0.989999949932% | Test accuracy: 0.981000065804%
Iteration: 41 | Loss: 0.113860810731 | Training accuracy: 0.979999959469% | Test accuracy: 0.963000059128%
Iteration: 42 | Loss: 0.104670728237 | Training accuracy: 1.0% | Test accuracy: 0.973000049591%
Iteration: 43 | Loss: 0.0999205804057 | Training accuracy: 0.989999949932% | Test accuracy: 0.979000031948%
Iteration: 44 | Loss: 0.0939905051701 | Training accuracy: 0.979999959469% | Test accuracy: 0.989000022411%
Iteration: 45 | Loss: 0.0967734803694 | Training accuracy: 1.0% | Test accuracy: 0.974000036716%
Iteration: 46 | Loss: 0.0837986081497 | Training accuracy: 0.989999949932% | Test accuracy: 0.986000061035%
